;DMP_0.5;DMP_0.51;DMP_0.52;DMP_0.53;DMP_0.54;DMP_0.55;DMP_0.56;DMP_0.57;DMP_0.58;DMP_0.59;DMP_0.6;DMP_0.61;DMP_0.62;DMP_0.63;DMP_0.64;DMP_0.65;DMP_0.66;DMP_0.67;DMP_0.68;DMP_0.69;DMP_0.7;DMP_0.71;DMP_0.72;DMP_0.73;DMP_0.74;DMP_0.75;DMP_0.76;DMP_0.77;DMP_0.78;DMP_0.79;DMP_0.8;DMP_0.81;DMP_0.82;DMP_0.83;DMP_0.84;DMP_0.85;DMP_0.86;DMP_0.87;DMP_0.88;DMP_0.89;DMP_0.9;DMP_0.91;DMP_0.92;DMP_0.93;DMP_0.94;DMP_0.95;DMP_0.96;DMP_0.97;DMP_0.98
10;0,127087;0,148752;0,137253;0,128587;0,159751;0,143386;0,155751;0,13422;0,137786;0,127187;0,191081;0,142886;0,164617;0,126754;0,122721;0,153551;0,169783;0,138686;0,146452;0,172083;0,180015;0,150385;0,144519;0,128654;0,154351;0,138386;0,125654;0,146352;0,150852;0,144886;0,171583;0,129654;0,124854;0,148552;0,174816;0,149018;0,145019;0,167783;0,131454;0,162817;0,173249;0,16875;0,141053;0,147919;0,129587;0,171849;0,168683;0,165417;0,143319
11;0,11405;0,108748;0,119656;0,114596;0,108839;0,133655;0,129079;0,129261;0,113808;0,116777;0,105809;0,135473;0,131503;0,131655;0,129594;0,113687;0,117565;0,12917;0,125261;0,132867;0,134018;0,136109;0,130806;0,143563;0,124019;0,136048;0,134594;0,118747;0,125201;0,125989;0,172499;0,142472;0,176075;0,14226;0,153531;0,170166;0,197437;0,143957;0,177438;0,141926;0,188256;0,150804;0,140714;0,191043;0,135291;0,140078;0,175499;0,138654;0,162167
12;0,105686;0,098103;0,108908;0,106436;0,113102;0,111907;0,115268;0,103297;0,138072;0,11013;0,108269;0,102519;0,145432;0,100853;0,110491;0,126934;0,13635;0,12049;0,100631;0,107241;0,118518;0,118657;0,104297;0,122295;0,131461;0,111463;0,115018;0,103269;0,109602;0,137044;0,139072;0,122323;0,124656;0,112768;0,120768;0,125351;0,132045;0,13435;0,11599;0,192373;0,129489;0,125184;0,118323;0,124712;0,115963;0,135183;0,125462;0,129906;0,130461
13;0,109607;0,109658;0,098095;0,093352;0,09107;0,112812;0,097992;0,103966;0,100249;0,102043;0,093095;0,090608;0,116068;0,110684;0,109402;0,095429;0,129452;0,10953;0,106735;0,09971;0,10271;0,108017;0,117658;0,108299;0,11294;0,114453;0,123785;0,104069;0,113273;0,09989;0,116196;0,155475;0,117504;0,105684;0,12135;0,110889;0,123375;0,125503;0,134861;0,100813;0,149476;0,101967;0,111273;0,142245;0,101351;0,114145;0,127836;0,106658;0,177038
14;0,091065;0,091136;0,103588;0,098541;0,095969;0,104469;0,091755;0,093493;0,097898;0,086994;0,083518;0,104469;0,09197;0,089779;0,09835;0,096588;0,102421;0,097874;0,092041;0,094588;0,103826;0,093898;0,093184;0,095588;0,108587;0,099041;0,088375;0,109016;0,099969;0,10004;0,102588;0,097279;0,114159;0,09566;0,12142;0,122539;0,113563;0,109635;0,101064;0,110349;0,139204;0,128586;0,095065;0,12142;0,158227;0,122277;0,133895;0,12092;0,106945
15;0,083572;0,091816;0,088483;0,086994;0,089283;0,092772;0,080639;0,108659;0,087972;0,096394;0,100682;0,086372;0,097438;0,093172;0,093016;0,086572;0,087772;0,083728;0,09786;0,081483;0,085639;0,104038;0,09035;0,088572;0,102104;0,076039;0,108948;0,08655;0,091372;0,091216;0,090727;0,095616;0,089972;0,100638;0,087727;0,088527;0,102282;0,103104;0,084106;0,11897;0,108148;0,101927;0,096127;0,101771;0,107837;0,106437;0,095149;0,11257;0,10406
16;0,087286;0,081745;0,079016;0,077224;0,07712;0,077787;0,084203;0,087265;0,077953;0,077204;0,077433;0,077724;0,078183;0,07912;0,101389;0,078995;0,085432;0,08789;0,088432;0,093515;0,102535;0,078037;0,089369;0,090619;0,089849;0,092098;0,081662;0,084661;0,085682;0,080412;0,093244;0,093369;0,089099;0,103244;0,097431;0,079641;0,088932;0,087495;0,092619;0,091098;0,083682;0,084557;0,109389;0,086245;0,098598;0,116993;0,09589;0,098411;0,083203
17;0,0668;0,07227;0,083897;0,087191;0,074427;0,075603;0,088171;0,080172;0,075427;0,080505;0,074545;0,075976;0,073466;0,06678;0,084328;0,083348;0,075839;0,075427;0,08076;0,074251;0,093798;0,084662;0,074211;0,084328;0,082505;0,084956;0,08176;0,088034;0,089112;0,102661;0,086603;0,113601;0,081838;0,078956;0,075956;0,093445;0,08723;0,076799;0,11517;0,106268;0,089485;0,089681;0,087034;0,08427;0,090269;0,102504;0,104974;0,094406;0,103955
18;0,070274;0,077273;0,068293;0,070385;0,073181;0,07157;0,067848;0,082107;0,080921;0,072089;0,065885;0,071366;0,086903;0,073144;0,068052;0,069052;0,0702;0,078385;0,072348;0,0752;0,080644;0,076403;0,078903;0,073366;0,068996;0,079588;0,069996;0,075496;0,07907;0,073329;0,09418;0,073144;0,092754;0,075866;0,075662;0,076051;0,096513;0,079625;0,081366;0,086236;0,076588;0,080384;0,078033;0,080607;0,072403;0,085162;0,085051;0,080921;0,075792
19;0,06954;0,069874;0,06519;0,066821;0,065926;0,071452;0,072259;0,075294;0,074838;0,074014;0,061734;0,074557;0,068277;0,065909;0,076277;0,078715;0,067733;0,069803;0,075593;0,065663;0,080926;0,07768;0,07233;0,067225;0,074417;0,080294;0,078434;0,071996;0,068838;0,075207;0,08254;0,08475;0,088943;0,071102;0,076838;0,069628;0,084767;0,075715;0,082908;0,092188;0,078575;0,074733;0,08389;0,080698;0,086802;0,090013;0,080943;0,072347;0,089978
