*************** (184,129) *******************
-(43,76)->150.6
-(82,133)->102.1
-(129,32)->111.5
-(141,193)->77.1
-(120,69)->87.73
-(186,199)->70.03
-(140,47)->93.06
-(4,117)->180.4
-(88,81)->107.3
***************************************

*************** (43,76) *******************
-(184,129)->150.6
-(82,133)->69.07
-(129,32)->96.6
-(141,193)->152.6
-(120,69)->77.32
-(186,199)->188.6
-(140,47)->101.2
-(4,117)->56.59
-(88,81)->45.28
***************************************

*************** (82,133) *******************
-(184,129)->102.1
-(43,76)->69.07
-(129,32)->111.4
-(141,193)->84.15
-(120,69)->74.43
-(186,199)->123.2
-(140,47)->103.7
-(4,117)->79.62
-(88,81)->52.35
***************************************

*************** (129,32) *******************
-(184,129)->111.5
-(43,76)->96.6
-(82,133)->111.4
-(141,193)->161.4
-(120,69)->38.08
-(186,199)->176.5
-(140,47)->18.6
-(4,117)->151.2
-(88,81)->63.89
***************************************

*************** (141,193) *******************
-(184,129)->77.1
-(43,76)->152.6
-(82,133)->84.15
-(129,32)->161.4
-(120,69)->125.8
-(186,199)->45.4
-(140,47)->146
-(4,117)->156.7
-(88,81)->123.9
***************************************

*************** (120,69) *******************
-(184,129)->87.73
-(43,76)->77.32
-(82,133)->74.43
-(129,32)->38.08
-(141,193)->125.8
-(186,199)->145.8
-(140,47)->29.73
-(4,117)->125.5
-(88,81)->34.18
***************************************

*************** (186,199) *******************
-(184,129)->70.03
-(43,76)->188.6
-(82,133)->123.2
-(129,32)->176.5
-(141,193)->45.4
-(120,69)->145.8
-(140,47)->158.8
-(4,117)->199.6
-(88,81)->153.4
***************************************

*************** (140,47) *******************
-(184,129)->93.06
-(43,76)->101.2
-(82,133)->103.7
-(129,32)->18.6
-(141,193)->146
-(120,69)->29.73
-(186,199)->158.8
-(4,117)->153
-(88,81)->62.13
***************************************

*************** (4,117) *******************
-(184,129)->180.4
-(43,76)->56.59
-(82,133)->79.62
-(129,32)->151.2
-(141,193)->156.7
-(120,69)->125.5
-(186,199)->199.6
-(140,47)->153
-(88,81)->91.39
***************************************

*************** (88,81) *******************
-(184,129)->107.3
-(43,76)->45.28
-(82,133)->52.35
-(129,32)->63.89
-(141,193)->123.9
-(120,69)->34.18
-(186,199)->153.4
-(140,47)->62.13
-(4,117)->91.39
***************************************

